recorded_at_utc,recipe,role,legacy_path,dss_reference,mapping_source,recipe_state,operation,cluster,job_id,status,notes
2026-07-24T18:34:08Z,v14_vlm_49k,primary,/lustre/fsw/portfolios/llmservice/users/arushig/av_data_gen/qwen35/reasoning_video_0623_cleaned/caprl_video_178k_dense_temporal_captions.jsonl,dss://nano_v14_49k_caprl_video_178k_dense_temporal_captions@v0,post_mapping_nrt_videomme_qa_0206,inactive_pending_recipe_update,FILESYSTEM_UPLOAD,oci-nrt-cs-001,a94e73bb-a8d0-4c9c-8d69-19fca7d7f3d9,COMPLETED,Uploaded after the original mapping CSV was produced
2026-07-24T18:34:08Z,v14_vlm_49k,primary,/lustre/fsw/portfolios/llmservice/users/arushig/av_data_gen/qwen35/reasoning_video_0623_cleaned/caprl_video_178k_dense_temporal_captions.jsonl,dss://nano_v14_49k_caprl_video_178k_dense_temporal_captions@v0,post_mapping_nrt_videomme_qa_0206,inactive_pending_recipe_update,FILESYSTEM_CACHE,oci-hsg-cs-001,e85e4942-9be7-47f6-bdcb-9bea47f637e6,COMPLETED,Cache target /home/svc-dss/cache/nemotron
2026-07-24T18:34:08Z,v14_vlm_49k,auxiliary,/lustre/fsw/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/vids/LLaVA-Video-178K,filesystem+dss://nano_v14_49k_LLaVA-Video-178K@v0,post_mapping_nrt_videomme_qa_0206,inactive_pending_recipe_update,FILESYSTEM_UPLOAD,oci-nrt-cs-001,6aad0c1b-2aa2-48fe-b802-6936be932597,COMPLETED,CAPRL media root
2026-07-24T18:34:08Z,v14_vlm_49k,auxiliary,/lustre/fsw/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/vids/LLaVA-Video-178K,filesystem+dss://nano_v14_49k_LLaVA-Video-178K@v0,post_mapping_nrt_videomme_qa_0206,inactive_pending_recipe_update,FILESYSTEM_CACHE,oci-hsg-cs-001,87af0fc8-b18a-4ae4-8acb-e3c3202e3cc5,RUNNING,Cache target /home/svc-dss/cache/nemotron
2026-07-24T18:34:08Z,v14_vlm_49k,primary,/lustre/fsw/portfolios/llmservice/users/arushig/av_data_gen/qwen35/reasoning_video_0623_cleaned/internvid_dense_temporal_captions.jsonl,dss://nano_v14_49k_internvid_dense_temporal_captions@v0,post_mapping_nrt_videomme_qa_0206,inactive_pending_recipe_update,FILESYSTEM_UPLOAD,oci-nrt-cs-001,90c9b322-f42b-4fe4-94b4-467a1f8b960a,COMPLETED,Uploaded after the original mapping CSV was produced
2026-07-24T18:34:08Z,v14_vlm_49k,primary,/lustre/fsw/portfolios/llmservice/users/arushig/av_data_gen/qwen35/reasoning_video_0623_cleaned/internvid_dense_temporal_captions.jsonl,dss://nano_v14_49k_internvid_dense_temporal_captions@v0,post_mapping_nrt_videomme_qa_0206,inactive_pending_recipe_update,FILESYSTEM_CACHE,oci-hsg-cs-001,171fb5e2-8e34-477c-8988-860ba9b8b9d6,COMPLETED,Cache target /home/svc-dss/cache/nemotron
2026-07-24T18:34:08Z,v14_vlm_49k,auxiliary,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_audio/users/arushig/datasets/video_data/internvid,filesystem+dss://nano_v14_49k_internvid@v0,post_mapping_nrt_videomme_qa_0206,inactive_pending_recipe_update,FILESYSTEM_UPLOAD,oci-nrt-cs-001,db7daf22-d826-469d-8f7f-3bdbe96d0452,COMPLETED,InternVid media root
2026-07-24T18:34:08Z,v14_vlm_49k,auxiliary,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_audio/users/arushig/datasets/video_data/internvid,filesystem+dss://nano_v14_49k_internvid@v0,post_mapping_nrt_videomme_qa_0206,inactive_pending_recipe_update,FILESYSTEM_CACHE,oci-hsg-cs-001,ca9630e8-2b4c-4488-9dd3-a9b82145cd83,RUNNING,Cache target /home/svc-dss/cache/nemotron
2026-07-24T18:34:08Z,v14_vlm_49k,primary,/lustre/fsw/portfolios/llmservice/users/arushig/av_data_gen/qwen35/reasoning_video_0623_cleaned/hdvila_hopchain_qa_520k.jsonl,dss://nano_v14_49k_hdvila_hopchain_qa_520k@v0,post_mapping_nrt_videomme_qa_0206,inactive_pending_recipe_update,FILESYSTEM_UPLOAD,oci-nrt-cs-001,914243b7-9e50-4db6-9b5b-c0b477e7f845,COMPLETED,Uploaded after the original mapping CSV was produced
2026-07-24T18:34:08Z,v14_vlm_49k,primary,/lustre/fsw/portfolios/llmservice/users/arushig/av_data_gen/qwen35/reasoning_video_0623_cleaned/hdvila_hopchain_qa_520k.jsonl,dss://nano_v14_49k_hdvila_hopchain_qa_520k@v0,post_mapping_nrt_videomme_qa_0206,inactive_pending_recipe_update,FILESYSTEM_CACHE,oci-hsg-cs-001,38a651e5-66fd-4a7b-9d50-315a90f91c13,COMPLETED,Cache target /home/svc-dss/cache/nemotron
2026-07-24T18:34:08Z,v14_vlm_49k,auxiliary,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_audio/users/arushig/datasets/video_data/hdvila,filesystem+dss://nano_v14_49k_hdvila@v0,original_mapping_csv,inactive_pending_recipe_update,MAPPING_REUSE,oci-hsg-cs-001,,COMPLETED,Existing HDVILA media mapping reused by the new Hopchain leaf
2026-07-24T18:34:08Z,omni_262k,auxiliary,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/trintamaki/workspace/datasets/mmlongbench-cc-batch3-seed,filesystem+dss://nano_omni_262k_mmlongbench-cc-batch3-seed@v0,original_mapping_csv,active,FILESYSTEM_CACHE,oci-hsg-cs-001,f222ea9e-85ff-45cf-80ac-7bbd682bedee,FAILED,Initial cache failed because the request used a stale snapshot ID
2026-07-24T18:34:08Z,omni_262k,auxiliary,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/trintamaki/workspace/datasets/mmlongbench-cc-batch3-seed,filesystem+dss://nano_omni_262k_mmlongbench-cc-batch3-seed@v0,original_mapping_csv,active,FILESYSTEM_CACHE,oci-hsg-cs-001,85b1efeb-3c46-491a-a3ba-fa1bbd8ab8e5,FAILED,Retry failed because snapshot 4724333258527402671 has no Data Mover manifest
2026-07-24T18:34:08Z,omni_262k,auxiliary,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/trintamaki/workspace/datasets/mmlongbench-cc-batch3-seed,filesystem+dss://nano_omni_262k_mmlongbench-cc-batch3-seed@v0,original_mapping_csv,active,DM_MANIFEST_UPLOAD,DSS,,FAILED,Metadata download reached 100 percent but manifest upload returned an empty validation error; dataset is owned by tpoon and shared read-only
2026-07-24T18:34:08Z,omni_262k,auxiliary,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/trintamaki/workspace/datasets/mmlongbench-cc-batch3-seed,filesystem+dss://nano_omni_262k_mmlongbench-cc-batch3-seed@v1,permission_recovery_attempt,not_used,FILESYSTEM_UPLOAD_VERSION_ATTEMPT,oci-nrt-cs-001,,FAILED,Creating v1 was rejected with HTTP 403 because matthieul does not own the original dataset
2026-07-24T18:34:08Z,omni_262k,auxiliary,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/trintamaki/workspace/datasets/mmlongbench-cc-batch3-seed,filesystem+dss://nano_omni_262k_mmlongbench-cc-batch3-seed-matthieul@v0,permission_recovery_fallback,replacement_pending_upload_and_cache,FILESYSTEM_UPLOAD,oci-nrt-cs-001,5b2048dd-3748-4384-9dab-d14748b67573,RUNNING,Replace the active v0 reference only after this upload and its HSG cache complete
2026-07-24T19:21:47Z,v14_vlm_49k,auxiliary,/lustre/fsw/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/vids/LLaVA-Video-178K,filesystem+dss://nano_v14_49k_LLaVA-Video-178K@v0,post_mapping_nrt_videomme_qa_0206,inactive_pending_recipe_update,FILESYSTEM_CACHE,oci-hsg-cs-001,87af0fc8-b18a-4ae4-8acb-e3c3202e3cc5,RUNNING,Status rechecked and unchanged
2026-07-24T19:21:47Z,v14_vlm_49k,auxiliary,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_audio/users/arushig/datasets/video_data/internvid,filesystem+dss://nano_v14_49k_internvid@v0,post_mapping_nrt_videomme_qa_0206,inactive_pending_recipe_update,FILESYSTEM_CACHE,oci-hsg-cs-001,ca9630e8-2b4c-4488-9dd3-a9b82145cd83,RUNNING,Status rechecked and unchanged
2026-07-24T19:21:47Z,omni_262k,auxiliary,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/trintamaki/workspace/datasets/mmlongbench-cc-batch3-seed,filesystem+dss://nano_omni_262k_mmlongbench-cc-batch3-seed-matthieul@v0,permission_recovery_fallback,replacement_pending_upload_and_cache,FILESYSTEM_UPLOAD,oci-nrt-cs-001,5b2048dd-3748-4384-9dab-d14748b67573,RUNNING,Status rechecked and unchanged
2026-07-24T22:50:59Z,v14_vlm_49k,auxiliary,/lustre/fsw/portfolios/llmservice/projects/llmservice_nlp_fm/datasets/vids/LLaVA-Video-178K,filesystem+dss://nano_v14_49k_LLaVA-Video-178K@v0,post_mapping_nrt_videomme_qa_0206,active,FILESYSTEM_CACHE,oci-hsg-cs-001,87af0fc8-b18a-4ae4-8acb-e3c3202e3cc5,COMPLETED,Cache completed at 2026-07-24T20:44:14.529000Z
2026-07-24T22:50:59Z,v14_vlm_49k,auxiliary,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_audio/users/arushig/datasets/video_data/internvid,filesystem+dss://nano_v14_49k_internvid@v0,post_mapping_nrt_videomme_qa_0206,active,FILESYSTEM_CACHE,oci-hsg-cs-001,ca9630e8-2b4c-4488-9dd3-a9b82145cd83,COMPLETED,Cache completed at 2026-07-24T20:44:14.208000Z
2026-07-24T22:50:59Z,omni_262k,auxiliary,/lustre/fs1/portfolios/llmservice/projects/llmservice_fm_vision/users/trintamaki/workspace/datasets/mmlongbench-cc-batch3-seed,filesystem+dss://nano_omni_262k_mmlongbench-cc-batch3-seed@v0,original_mapping_csv,active,FILESYSTEM_CACHE,oci-hsg-cs-001,0fcd205d-a21f-4b7e-91f7-528d190eaefd,COMPLETED,DSS-team restart completed at 2026-07-24T22:41:50.985000Z
2026-07-24T22:50:59Z,v14_vlm_49k,primary,/lustre/fsw/portfolios/llmservice/users/arushig/av_data_gen/qwen35/reasoning_video_0623_cleaned/caprl_video_178k_dense_temporal_captions.jsonl,dss://nano_v14_49k_caprl_video_178k_dense_temporal_captions@v0,post_mapping_nrt_videomme_qa_0206,active,RECIPE_ACTIVATION,local_repo,,COMPLETED,Activated at repetitions 1.0 after primary and media cache validation
2026-07-24T22:50:59Z,v14_vlm_49k,primary,/lustre/fsw/portfolios/llmservice/users/arushig/av_data_gen/qwen35/reasoning_video_0623_cleaned/internvid_dense_temporal_captions.jsonl,dss://nano_v14_49k_internvid_dense_temporal_captions@v0,post_mapping_nrt_videomme_qa_0206,active,RECIPE_ACTIVATION,local_repo,,COMPLETED,Activated at repetitions 1.0 after primary and media cache validation
2026-07-24T22:50:59Z,v14_vlm_49k,primary,/lustre/fsw/portfolios/llmservice/users/arushig/av_data_gen/qwen35/reasoning_video_0623_cleaned/hdvila_hopchain_qa_520k.jsonl,dss://nano_v14_49k_hdvila_hopchain_qa_520k@v0,post_mapping_nrt_videomme_qa_0206,active,RECIPE_ACTIVATION,local_repo,,COMPLETED,Activated at repetitions 1.0 after primary and media cache validation
